,user_id,fin_body,drug_body,mental_body,rela_body,suicide_body,hopeless_body,motivations
0,195,1,1,1,1,0,0,4
1,450,0,1,1,1,1,0,4
2,979,1,0,0,0,0,0,1
3,1073,0,1,0,1,1,0,3
4,1642,0,0,1,0,1,0,2
5,1900,1,1,1,1,1,1,5
6,2198,1,1,1,1,1,1,5
7,2206,0,0,0,1,0,0,1
8,3000,1,0,0,1,0,0,2
9,3202,1,1,1,1,0,0,4
10,3260,1,0,1,1,1,0,4
11,4790,1,1,1,1,1,1,5
12,4978,1,1,1,1,1,1,5
13,5253,1,1,1,1,1,0,5
14,5582,0,1,1,1,0,0,3
15,6357,0,0,0,1,1,0,2
16,6789,0,0,0,0,0,1,0
17,6792,1,1,1,1,1,0,5
18,7185,1,1,1,1,1,0,5
19,7214,0,1,0,0,0,0,1
20,7708,0,1,1,1,0,0,3
21,8275,0,0,0,0,0,0,0
22,8436,0,0,0,0,0,0,0
23,9333,1,1,1,1,1,0,5
24,9534,1,1,1,1,1,0,5
25,10076,1,1,1,1,1,0,5
26,11442,0,0,1,0,0,0,1
27,11582,1,1,1,1,1,0,5
28,11994,1,1,0,1,1,1,4
29,12083,1,1,0,1,1,0,4
30,12716,1,1,1,1,1,1,5
31,13151,1,1,1,1,1,0,5
32,13606,1,1,1,1,1,0,5
33,13913,0,0,1,0,1,0,2
34,14457,1,1,1,1,1,0,5
35,14614,0,1,0,0,0,0,1
36,15232,1,1,1,1,1,1,5
37,17119,1,1,1,0,0,0,3
38,17139,1,1,1,1,1,0,5
39,17153,1,1,1,1,1,0,5
40,18233,1,1,1,1,1,0,5
41,18401,1,1,1,1,1,0,5
42,18898,1,1,1,1,1,0,5
43,19852,0,0,1,0,1,0,2
44,19858,0,0,0,1,0,0,1
45,20438,1,1,1,1,0,0,4
46,20797,1,1,1,1,1,0,5
47,21664,1,1,1,1,0,0,4
48,22411,1,1,1,1,1,0,5
49,22829,1,1,1,1,1,1,5
50,23390,1,0,0,1,0,0,2
51,24261,0,1,0,0,0,0,1
52,25040,1,1,1,1,1,0,5
53,25347,1,1,1,1,1,0,5
54,27604,0,1,0,1,0,0,2
55,27624,1,1,1,1,1,1,5
56,28148,1,1,1,1,1,1,5
57,28152,0,0,1,1,0,0,2
58,28351,0,1,1,1,1,1,4
59,29508,1,1,1,0,1,0,4
60,29780,0,1,1,1,1,0,4
61,29993,1,1,1,1,1,1,5
62,30014,1,1,1,1,1,0,5
63,30226,1,0,1,1,0,0,3
64,30606,1,1,1,1,1,0,5
65,31051,1,0,1,1,1,0,4
66,31156,1,0,1,0,0,0,2
67,31178,0,0,0,0,0,0,0
68,31217,1,1,1,1,1,0,5
69,31476,0,0,0,0,0,0,0
70,31528,1,1,0,1,1,0,4
71,32828,1,1,1,1,1,1,5
72,33167,1,0,0,1,1,0,3
73,33276,0,0,0,0,0,0,0
74,33573,0,1,0,0,0,1,1
75,34411,0,1,0,0,1,0,2
76,35048,1,1,1,1,1,1,5
77,35114,1,1,1,1,1,1,5
78,35428,1,1,1,1,0,0,4
79,35429,1,1,1,1,1,0,5
80,35898,1,1,1,1,1,0,5
81,35972,1,1,1,1,0,0,4
82,36393,0,1,1,0,1,0,3
83,36402,0,0,1,1,0,0,2
84,37536,1,1,0,1,1,0,4
85,37682,1,0,1,0,0,1,2
86,37948,1,1,1,1,1,1,5
87,39498,1,1,0,1,1,0,4
88,39685,0,1,1,1,0,0,3
89,41458,1,1,0,1,0,0,3
90,41517,0,0,1,0,0,0,1
91,41946,1,1,1,1,1,0,5
92,41983,0,0,1,0,0,0,1
93,42155,1,1,1,1,1,0,5
94,42279,0,0,1,1,0,0,2
95,42332,1,0,1,1,1,0,4
96,42350,1,1,1,1,1,1,5
97,42402,1,1,1,1,1,1,5
98,42514,1,1,1,1,1,0,5
99,42864,1,1,1,1,1,0,5
100,43252,0,1,0,0,0,0,1
101,43319,1,1,1,1,1,0,5
102,43555,0,0,1,1,1,0,3
103,43801,1,1,1,1,1,0,5
104,44227,0,0,0,1,0,1,1
105,44759,1,1,1,1,1,0,5
106,44772,1,1,1,1,1,0,5
107,44876,1,0,0,0,0,0,1
108,45088,1,1,1,1,0,0,4
109,45145,0,0,0,1,0,0,1
110,45551,1,1,1,1,1,1,5
111,46091,1,1,1,1,1,0,5
112,46549,1,1,1,1,0,0,4
113,46729,1,1,1,1,1,0,5
114,46849,1,1,1,1,1,0,5
115,47221,1,1,1,1,1,1,5
116,47849,1,1,1,1,1,1,5
117,48459,1,1,1,1,1,1,5
118,49110,1,1,1,1,1,0,5
119,49555,0,1,1,1,1,0,4
120,50962,0,0,1,1,1,0,3
121,51058,1,1,1,1,1,1,5
122,51307,0,0,0,1,0,0,1
123,51666,1,1,1,1,1,0,5
124,51766,1,1,0,1,0,0,3
