,user_id,fin_body,drug_body,mental_body,rela_body,suicide_body,hopeless_body,motivations
0,16,1,0,0,0,0,1,1
1,56,0,1,1,0,0,0,2
2,137,0,1,0,1,1,0,3
3,152,0,0,0,0,0,0,0
4,370,0,0,0,0,0,0,0
5,706,0,0,0,0,0,0,0
6,967,1,1,1,1,1,0,5
7,981,0,1,1,1,1,0,4
8,1215,1,0,0,1,1,1,3
9,1233,0,0,0,0,0,0,0
10,1288,0,0,0,1,0,0,1
11,1318,0,0,1,0,1,0,2
12,1419,1,1,0,1,1,0,4
13,1489,0,1,0,1,0,0,2
14,1500,0,0,0,1,1,0,2
15,1526,0,0,0,0,0,0,0
16,1610,0,0,1,0,0,0,1
17,1690,0,0,0,0,0,0,0
18,1854,1,1,0,1,0,0,3
19,2071,0,0,0,1,1,0,2
20,2103,0,0,0,0,0,0,0
21,2205,1,1,1,1,1,0,5
22,2370,1,1,1,1,0,0,4
23,2435,1,1,1,1,0,0,4
24,2655,0,1,1,0,0,0,2
25,2667,0,0,1,0,0,0,1
26,2835,1,1,1,1,1,0,5
27,2853,1,0,0,1,0,0,2
28,3032,1,1,1,1,0,0,4
29,3236,0,0,0,1,0,1,1
30,3344,1,0,0,0,0,0,1
31,3402,0,0,0,1,1,0,2
32,3700,0,0,0,1,0,0,1
33,3730,0,0,0,0,0,1,0
34,3973,1,0,0,0,0,0,1
35,4031,1,0,0,0,0,0,1
36,4132,0,1,1,1,1,0,4
37,4184,1,0,0,1,1,0,3
38,4192,0,1,0,0,0,0,1
39,4193,0,1,1,0,1,0,3
40,4517,1,1,1,1,1,1,5
41,4606,0,0,1,1,1,0,3
42,4796,1,1,1,1,0,0,4
43,4831,0,0,1,1,0,0,2
44,4897,0,0,1,0,1,0,2
45,4983,0,0,0,0,0,0,0
46,5004,0,0,0,0,0,0,0
47,5096,1,1,0,0,0,0,2
48,5169,0,0,0,0,0,0,0
49,5170,0,0,0,1,0,0,1
50,5196,1,0,0,0,1,0,2
51,5215,0,0,0,1,1,0,2
52,5227,1,0,1,1,1,0,4
53,5406,0,0,0,0,0,0,0
54,5422,0,0,1,0,0,0,1
55,5548,0,0,0,1,0,0,1
56,5611,0,0,0,1,0,0,1
57,5657,0,1,1,1,0,1,3
58,5782,0,0,0,1,0,0,1
59,5791,1,1,1,1,1,0,5
60,5827,0,0,0,0,1,1,1
61,5985,1,1,1,1,1,0,5
62,6198,0,0,0,1,0,0,1
63,6234,0,1,0,0,0,0,1
64,6317,1,0,1,1,1,0,4
65,6370,0,0,1,1,1,0,3
66,6375,1,0,0,1,1,0,3
67,6537,1,1,1,1,1,0,5
68,6826,1,0,0,0,1,0,2
69,6949,0,0,0,0,0,0,0
70,6987,1,0,1,0,0,0,2
71,7007,0,0,1,1,1,0,3
72,7241,1,1,0,1,1,0,4
73,7312,1,1,0,0,1,0,3
74,7371,0,0,1,0,0,0,1
75,7489,1,1,1,0,0,0,3
